"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","User cannot add an out of stock product","","2026-07-12","broken","2026-07-12","","Out Of Stock","User cannot add an out of stock product",""
"","55","Cancel an already cancelled order","","2026-07-12","broken","2026-07-12","","Cancel Order","Cancel an already cancelled order",""
"","208","Invalid login","","2026-07-12","broken","2026-07-12","","Security","Invalid login",""
"","196","View placed order","","2026-07-12","broken","2026-07-12","","Order","View placed order",""
"","221","Verify order through UI API and Database","","2026-07-12","broken","2026-07-12","","End-to-End Checkout","Verify order through UI API and Database",""
"","49","shouldSearchProduct()","","2026-07-12","broken","2026-07-12","","com.shopkart.api.tests.ProductApiTest","com.shopkart.api.tests.ProductApiTest","shouldSearchProduct"
"","2253","validLogin()","","2026-07-12","broken","2026-07-12","","com.shopkart.api.tests.LoginApiTest","com.shopkart.api.tests.LoginApiTest","validLogin"
"","219","Search a product","","2026-07-12","broken","2026-07-12","","Product Search","Search a product",""
"","20","User cannot access another user's order","","2026-07-12","broken","2026-07-12","","Order Access Security","User cannot access another user's order",""
"","6620","Add product to cart","","2026-07-12","broken","2026-07-12","","Cart","Add product to cart",""
"","216","Successful login","","2026-07-12","broken","2026-07-12","","Login","Successful login",""
"","14","shouldGetAllProducts()","","2026-07-12","broken","2026-07-12","","com.shopkart.api.tests.ProductApiTest","com.shopkart.api.tests.ProductApiTest","shouldGetAllProducts"
"","224","Place an order","","2026-07-12","broken","2026-07-12","","Checkout","Place an order",""
