"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","197","View placed order","","2026-07-12","broken","2026-07-12","","Order","View placed order",""
"","25","User cannot add an out of stock product","","2026-07-12","broken","2026-07-12","","Out Of Stock","User cannot add an out of stock product",""
"","232","Place an order","","2026-07-12","broken","2026-07-12","","Checkout","Place an order",""
"","203","Search a product","","2026-07-12","broken","2026-07-12","","Product Search","Search a product",""
"","1957","Cancel an already cancelled order","","2026-07-12","broken","2026-07-12","","Cancel Order","Cancel an already cancelled order",""
"","200","Invalid login","","2026-07-12","broken","2026-07-12","","Security","Invalid login",""
"","202","Verify order through UI API and Database","","2026-07-12","broken","2026-07-12","","End-to-End Checkout","Verify order through UI API and Database",""
"","202","Successful login","","2026-07-12","broken","2026-07-12","","Login","Successful login",""
"","18","User cannot access another user's order","","2026-07-12","broken","2026-07-12","","Order Access Security","User cannot access another user's order",""
"","5551","Add product to cart","","2026-07-12","broken","2026-07-12","","Cart","Add product to cart",""
