"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2409","Cancel an already cancelled order","","2026-07-12","broken","2026-07-12","","Cancel Order","Cancel an already cancelled order",""
"","234","Place an order","","2026-07-12","broken","2026-07-12","","Checkout","Place an order",""
"","23","User cannot access another user's order","","2026-07-12","broken","2026-07-12","","Order Access Security","User cannot access another user's order",""
"","218","Verify order through UI API and Database","","2026-07-12","broken","2026-07-12","","End-to-End Checkout","Verify order through UI API and Database",""
"","224","Invalid login","","2026-07-12","broken","2026-07-12","","Security","Invalid login",""
"","230","Search a product","","2026-07-12","broken","2026-07-12","","Product Search","Search a product",""
"","21","User cannot add an out of stock product","","2026-07-12","broken","2026-07-12","","Out Of Stock","User cannot add an out of stock product",""
"","229","Successful login","","2026-07-12","broken","2026-07-12","","Login","Successful login",""
"","220","View placed order","","2026-07-12","broken","2026-07-12","","Order","View placed order",""
"","6216","Add product to cart","","2026-07-12","broken","2026-07-12","","Cart","Add product to cart",""
